manufacturer,model,year,would_recommend,comfort,performance,fuel_efficiency,safety,technology
Bentley,Model 4,2019,1,9,7,9,6,6
Tesla,Model 5,2023,0,4,3,3,8,4
Mazda,Model 3,2016,0,8,6,5,9,3
Fiat,Model 3,2016,1,4,6,3,9,4
Dodge,Model 4,2022,1,10,4,8,4,3
Cadillac,Model 4,2018,0,5,3,5,5,4
Alfa Romeo,Model 2,2018,0,6,6,4,3,9
Lamborghini,Model 5,2022,1,5,4,4,9,5
Bentley,Model 3,2019,1,10,8,9,6,10
Aston Martin,Model 2,2023,0,4,5,4,5,7
Mini,Model 5,2020,1,9,9,9,9,6
Bugatti,Model 3,2017,0,4,4,8,8,9
Honda,Model 3,2023,1,4,8,10,9,8
Mini,Model 1,2019,1,5,3,7,9,4
Lincoln,Model 4,2019,0,4,9,6,4,8
Rimac,Model 5,2021,0,6,9,5,4,10
Rolls-Royce,Model 5,2015,0,7,9,6,7,3
Dodge,Model 5,2021,0,6,9,10,6,10
Mini,Model 1,2021,1,8,9,9,5,4
Lamborghini,Model 1,2023,0,4,7,7,6,7
Alfa Romeo,Model 4,2017,1,5,10,9,9,9
Toyota,Model 3,2020,0,8,4,8,10,10
Audi,Model 3,2019,0,8,3,3,5,4
BAC,Model 3,2020,0,7,4,6,6,3
Dodge,Model 1,2019,0,7,7,5,10,9
Volkswagen,Model 3,2016,1,3,9,4,9,9
Land Rover,Model 3,2015,0,9,10,3,4,3
Dodge,Model 4,2020,1,4,10,4,4,7
Infiniti,Model 2,2017,0,5,6,8,8,9
Aston Martin,Model 4,2017,1,7,6,7,10,8
Lexus,Model 2,2019,0,6,9,5,5,10
Mini,Model 2,2018,1,9,4,6,3,4
Volkswagen,Model 1,2016,0,7,8,4,4,5
Bugatti,Model 5,2018,1,6,10,3,6,7
Koenigsegg,Model 3,2015,1,3,3,10,4,7
Rimac,Model 2,2022,0,7,9,3,10,10
Jaguar,Model 5,2021,0,6,5,8,9,3
Genesis,Model 3,2015,1,3,8,4,6,10
Hyundai,Model 4,2020,1,3,8,3,6,7
Rimac,Model 3,2018,1,5,3,6,3,10
Audi,Model 3,2016,1,6,7,3,7,4
GMC,Model 2,2019,0,10,9,7,5,5
Ferrari,Model 2,2017,0,7,4,8,8,9
Bentley,Model 2,2022,1,5,4,8,5,9
Lincoln,Model 2,2017,1,4,9,3,3,8
Subaru,Model 5,2021,1,6,7,7,7,10
Chrysler,Model 2,2016,0,9,10,8,9,9
Tesla,Model 1,2016,1,6,5,5,6,9
Ford,Model 5,2016,1,6,3,9,7,6
Ariel,Model 2,2018,0,5,3,10,4,9
Volkswagen,Model 1,2020,0,4,10,8,6,3
Mazda,Model 2,2018,1,7,6,4,6,8
Tesla,Model 2,2023,1,6,8,7,4,9
Bugatti,Model 3,2022,1,8,10,7,4,3
Mazda,Model 5,2015,1,7,9,4,10,10
Bugatti,Model 3,2023,1,5,4,8,6,10
Chrysler,Model 5,2021,0,9,4,3,10,8
Honda,Model 3,2016,1,10,6,3,3,4
Tesla,Model 1,2021,1,10,6,3,3,3
Rolls-Royce,Model 1,2022,0,6,6,5,8,4
McLaren,Model 3,2019,1,6,10,3,9,9
Infiniti,Model 4,2019,1,9,10,10,4,3
Lotus,Model 2,2017,0,8,5,4,9,4
Aston Martin,Model 5,2018,0,6,5,7,3,5
Subaru,Model 5,2018,1,9,5,6,6,3
Lamborghini,Model 1,2016,0,8,3,6,8,9
Volkswagen,Model 2,2020,0,7,9,6,10,4
Ford,Model 3,2019,0,4,6,4,4,5
Smart,Model 3,2022,1,10,8,7,3,3
Koenigsegg,Model 3,2016,1,7,3,10,8,9
McLaren,Model 4,2015,1,9,9,9,6,5
Caterham,Model 1,2017,1,3,4,10,6,10
Ariel,Model 5,2018,1,9,9,8,5,4
Lotus,Model 3,2016,0,6,3,6,4,8
Dodge,Model 4,2017,0,9,4,10,4,10
Bentley,Model 5,2017,0,7,5,6,3,8
Lexus,Model 5,2018,0,5,5,8,9,5
Rolls-Royce,Model 2,2018,1,3,4,8,6,7
Bentley,Model 2,2022,1,7,10,5,10,8
Nissan,Model 1,2023,1,5,5,3,7,5
Porsche,Model 3,2017,1,5,8,6,6,6
Morgan,Model 4,2023,1,5,9,7,6,6
Cadillac,Model 4,2015,1,10,9,7,3,3
Land Rover,Model 4,2021,0,5,9,5,4,9
Lamborghini,Model 1,2022,0,5,8,10,10,8
Lamborghini,Model 5,2016,1,9,10,10,6,10
Porsche,Model 1,2019,0,4,4,9,7,5
Koenigsegg,Model 3,2018,1,5,7,4,6,5
Genesis,Model 4,2023,1,9,8,5,5,8
Morgan,Model 5,2019,1,10,5,9,9,8
Morgan,Model 3,2021,0,9,5,10,6,10
Porsche,Model 4,2017,1,3,8,9,3,7
Ariel,Model 2,2016,1,6,6,7,9,4
BAC,Model 1,2017,0,9,5,3,7,8
Mercedes-Benz,Model 5,2023,1,3,7,6,7,4
Toyota,Model 2,2018,0,9,3,5,7,9
Lamborghini,Model 4,2022,0,5,10,7,3,7
Rolls-Royce,Model 4,2021,1,9,7,9,9,3
Ford,Model 4,2019,0,4,7,5,10,6
Acura,Model 3,2020,1,7,5,6,7,8
Jeep,Model 3,2023,0,10,5,5,7,7
Aston Martin,Model 4,2016,1,5,10,3,4,9
Smart,Model 4,2018,0,7,10,10,6,9
Land Rover,Model 1,2023,0,9,4,10,8,9
Maserati,Model 4,2016,0,6,5,3,7,6
Honda,Model 4,2019,1,4,5,5,6,7
Mercedes-Benz,Model 4,2016,0,4,10,6,10,6
BMW,Model 5,2020,1,4,3,5,10,3
Chrysler,Model 3,2016,1,10,10,5,9,3
Smart,Model 5,2017,0,10,5,10,4,5
Hyundai,Model 1,2023,1,9,4,8,3,10
Lexus,Model 1,2017,1,8,9,6,8,5
Buick,Model 2,2016,0,3,10,3,7,7
Aston Martin,Model 4,2019,1,10,5,9,6,4
Mitsubishi,Model 5,2023,1,5,7,4,9,7
Maserati,Model 1,2016,1,4,4,6,8,6
Rimac,Model 2,2021,0,9,4,7,9,8
Lotus,Model 5,2019,1,3,7,7,10,3
Lotus,Model 4,2017,0,9,9,6,5,5
Jaguar,Model 3,2022,1,3,3,4,8,4
Fiat,Model 1,2017,0,7,4,6,5,3
Mitsubishi,Model 2,2021,0,7,8,4,5,9
Ford,Model 5,2015,1,9,6,8,6,9
Bugatti,Model 1,2023,0,10,6,3,7,6
Lexus,Model 2,2020,1,6,8,7,9,5
BAC,Model 2,2020,1,6,5,9,7,4
Chevrolet,Model 5,2016,0,5,6,8,7,4
Morgan,Model 2,2022,0,7,6,10,10,5
BMW,Model 3,2018,1,4,10,4,6,4
Volvo,Model 5,2022,1,8,8,7,9,5
Porsche,Model 2,2019,1,5,8,5,7,9
Smart,Model 1,2016,0,9,6,10,3,9
Jeep,Model 5,2017,1,4,10,7,10,3
Jaguar,Model 2,2018,1,10,8,9,5,7
Subaru,Model 2,2015,1,3,10,9,4,4
Lamborghini,Model 3,2019,1,8,6,7,4,5
Mercedes-Benz,Model 2,2021,1,10,6,9,4,10
Ford,Model 5,2018,1,7,10,7,8,3
Mini,Model 3,2021,1,7,9,3,9,4
Maserati,Model 1,2020,1,6,3,7,7,4
Jeep,Model 4,2021,1,7,3,3,9,6
Tesla,Model 5,2018,1,10,10,5,5,9
Infiniti,Model 5,2022,1,7,10,8,3,8
Mazda,Model 1,2021,0,10,5,8,3,7
Morgan,Model 3,2017,1,3,7,4,5,6
Lotus,Model 5,2023,0,4,9,8,3,10
Koenigsegg,Model 3,2020,1,10,9,3,10,6
Maserati,Model 3,2019,0,8,8,3,5,5
Acura,Model 5,2016,0,9,5,7,7,8
Aston Martin,Model 5,2019,0,9,6,7,3,8
Land Rover,Model 3,2021,0,8,9,9,3,9
Smart,Model 1,2019,0,3,6,4,5,7
Jaguar,Model 1,2015,0,3,3,10,6,6
Smart,Model 2,2019,0,10,4,4,3,8
Morgan,Model 3,2017,1,6,10,6,3,7
Rimac,Model 2,2017,0,7,3,6,8,9
Ariel,Model 1,2021,1,5,8,4,7,10
Ford,Model 3,2017,0,9,8,6,6,7
Bugatti,Model 3,2018,1,6,6,10,7,6
Lincoln,Model 1,2018,0,3,4,4,10,8
Jeep,Model 2,2020,1,7,10,6,3,9
Infiniti,Model 2,2021,1,8,10,10,9,7
BMW,Model 1,2017,0,4,8,8,5,4
Land Rover,Model 4,2023,1,3,7,4,9,10
Fiat,Model 2,2017,0,5,8,10,8,3
Chrysler,Model 2,2018,0,10,7,4,5,9
Koenigsegg,Model 2,2020,0,8,7,10,3,5
Ariel,Model 1,2017,1,8,7,6,4,3
Ford,Model 5,2015,0,9,8,8,6,10
Kia,Model 5,2023,0,3,3,9,10,6
Audi,Model 4,2022,1,10,6,4,5,7
Lincoln,Model 3,2021,0,6,4,10,9,4
Mazda,Model 5,2022,1,9,5,8,6,10
Rolls-Royce,Model 2,2015,1,4,3,5,5,6
Koenigsegg,Model 4,2018,1,3,9,7,10,7
Jaguar,Model 4,2016,1,3,8,8,7,8
Tesla,Model 4,2018,0,7,9,8,10,8
Rimac,Model 3,2016,1,7,9,5,10,9
Pagani,Model 1,2021,1,4,6,3,7,3
Mazda,Model 1,2021,1,3,9,5,3,10
GMC,Model 2,2016,0,10,6,3,4,4
Hyundai,Model 4,2020,0,3,6,9,6,7
Hyundai,Model 1,2015,0,7,5,5,5,9
Tesla,Model 2,2016,1,5,4,4,7,5
Pagani,Model 5,2018,0,3,8,4,10,4
Tesla,Model 3,2015,1,5,4,10,9,6
Bugatti,Model 3,2016,1,4,10,4,3,6
Acura,Model 3,2018,1,5,7,9,10,5
Mini,Model 5,2015,1,10,4,7,7,10
Audi,Model 1,2016,0,7,4,4,3,9
Subaru,Model 5,2020,0,10,6,9,4,4
Rimac,Model 4,2015,1,10,5,5,8,8
Subaru,Model 4,2023,0,9,5,8,3,6
BAC,Model 4,2019,1,8,4,5,10,6
Mitsubishi,Model 1,2015,1,5,5,6,3,10
Hyundai,Model 5,2023,1,7,4,3,3,4
Koenigsegg,Model 4,2021,1,7,5,6,10,4
Ariel,Model 5,2020,0,6,4,10,6,9
Audi,Model 5,2018,1,4,5,6,10,9
Jeep,Model 5,2016,0,4,4,6,9,8
Land Rover,Model 5,2018,0,4,5,10,4,8
Caterham,Model 5,2023,0,10,3,7,6,8
Ariel,Model 2,2020,1,9,3,4,5,3
Toyota,Model 2,2018,0,10,9,5,7,7
Morgan,Model 2,2023,1,5,5,8,6,5
Genesis,Model 2,2021,1,4,5,4,5,7
Fiat,Model 5,2018,1,5,10,3,3,6
Pagani,Model 1,2017,1,5,6,8,10,9
Genesis,Model 3,2020,0,5,4,7,10,6
Mitsubishi,Model 2,2019,0,8,10,9,3,5
Mazda,Model 1,2022,0,4,4,7,3,9
BAC,Model 4,2017,1,9,9,3,8,7
Audi,Model 4,2018,1,10,9,4,9,6
Ariel,Model 5,2021,0,9,7,9,6,8
Volkswagen,Model 3,2021,0,5,5,5,5,10
Alfa Romeo,Model 3,2019,1,9,8,5,7,10
Maserati,Model 4,2017,1,8,10,7,3,5
Mazda,Model 4,2018,1,10,10,5,5,5
Porsche,Model 2,2020,1,8,7,8,8,9
Mitsubishi,Model 4,2022,0,10,7,4,5,8
Ford,Model 3,2017,1,6,6,5,7,9
Mazda,Model 5,2022,1,10,9,6,4,3
Volvo,Model 5,2020,0,10,8,10,8,7
Chrysler,Model 4,2020,0,5,6,7,3,9
Caterham,Model 4,2017,1,8,10,4,5,10
Acura,Model 4,2017,1,3,9,3,5,3
Hyundai,Model 4,2022,1,8,3,6,9,4
Hyundai,Model 3,2017,1,3,3,6,5,7
Jeep,Model 1,2017,1,7,6,10,5,9
Bentley,Model 4,2016,0,3,9,10,10,9
Aston Martin,Model 5,2023,1,6,4,6,7,5
Koenigsegg,Model 1,2020,0,4,8,6,4,6
Audi,Model 4,2023,0,10,3,7,4,6
Buick,Model 5,2015,0,6,3,5,8,3
Genesis,Model 2,2017,1,8,5,5,10,6
Nissan,Model 3,2018,1,3,10,9,10,3
Volkswagen,Model 1,2021,1,7,4,10,9,7
Honda,Model 1,2018,1,9,7,6,6,9
Pagani,Model 1,2021,0,4,6,6,7,3
Tesla,Model 4,2021,1,9,10,4,7,9
Cadillac,Model 1,2021,1,10,10,8,7,9
Subaru,Model 2,2019,1,7,6,9,4,3
Lotus,Model 3,2019,0,7,7,10,7,8
Lamborghini,Model 1,2023,1,3,9,9,7,9
Volvo,Model 3,2023,1,5,6,8,5,7
Ferrari,Model 1,2019,0,3,3,7,10,3
Jeep,Model 3,2015,1,10,7,5,10,5
Jeep,Model 3,2019,1,3,10,4,7,4
Jaguar,Model 3,2019,0,8,6,4,10,6
Lincoln,Model 4,2015,1,8,10,9,8,8
Rolls-Royce,Model 1,2020,1,7,3,10,8,9
Audi,Model 5,2019,0,5,5,3,6,10
Buick,Model 5,2017,0,4,10,10,9,7
Lexus,Model 3,2023,0,9,8,5,8,8
Tesla,Model 4,2021,0,10,6,4,6,5
Honda,Model 2,2022,1,7,10,9,7,9
Ferrari,Model 2,2015,1,8,6,7,4,6
Aston Martin,Model 5,2020,1,5,7,4,6,4
Koenigsegg,Model 3,2019,1,6,3,8,8,3
Porsche,Model 3,2016,0,4,4,4,10,7
Audi,Model 4,2019,1,8,10,6,9,8
Honda,Model 2,2018,0,10,8,5,8,6
GMC,Model 1,2018,0,4,9,8,4,5
BMW,Model 5,2017,1,8,10,4,9,7
Rolls-Royce,Model 3,2023,0,7,3,5,5,3
Alfa Romeo,Model 5,2021,1,3,6,10,9,4
Alfa Romeo,Model 3,2021,0,6,6,7,9,10
Chevrolet,Model 1,2018,1,4,5,4,6,9
Infiniti,Model 2,2015,1,4,3,10,6,4
Fiat,Model 5,2017,1,10,3,8,10,10
Kia,Model 4,2020,1,9,3,9,8,8
Tesla,Model 3,2015,0,4,4,4,7,9
Infiniti,Model 5,2015,1,10,10,9,8,3
Koenigsegg,Model 3,2021,1,9,3,9,4,10
Buick,Model 2,2019,1,7,4,3,4,9
Alfa Romeo,Model 4,2020,1,5,7,6,3,5
GMC,Model 1,2023,1,10,9,6,3,4
Honda,Model 5,2016,1,10,8,6,10,7
Dodge,Model 4,2021,1,3,7,5,8,5
Ariel,Model 2,2016,1,3,10,8,7,7
Alfa Romeo,Model 4,2017,1,5,5,3,8,10
Land Rover,Model 3,2020,0,3,7,6,3,8
Dodge,Model 4,2022,0,9,8,4,5,8
Kia,Model 3,2021,0,8,7,5,7,5
Buick,Model 5,2017,1,6,8,3,4,7
Tesla,Model 1,2021,1,3,5,6,3,10
Aston Martin,Model 3,2022,1,9,6,9,5,7
Subaru,Model 4,2015,0,10,8,4,5,10
Cadillac,Model 4,2021,1,9,7,3,9,4
Rolls-Royce,Model 3,2015,0,3,4,3,7,10
Infiniti,Model 4,2015,0,9,7,7,7,7
Nissan,Model 4,2022,1,10,8,6,6,7
Toyota,Model 4,2022,1,9,3,4,6,8
Caterham,Model 4,2020,1,3,3,7,8,8
Buick,Model 1,2021,0,8,9,8,3,5
Koenigsegg,Model 2,2015,1,10,3,8,8,4
McLaren,Model 5,2015,0,8,7,5,8,4
Caterham,Model 4,2019,1,9,3,3,9,3
Lincoln,Model 3,2015,1,3,4,9,3,4
Mitsubishi,Model 5,2017,0,3,9,10,3,3
GMC,Model 3,2015,1,7,8,9,8,7
Chevrolet,Model 3,2018,0,4,7,6,6,4
Lotus,Model 2,2020,1,10,4,9,6,6
Nissan,Model 5,2019,0,10,7,6,7,9
Hyundai,Model 5,2018,0,3,10,7,7,9
Ariel,Model 4,2017,1,7,8,9,9,6
Smart,Model 5,2017,0,7,4,9,5,5
Genesis,Model 3,2017,1,8,3,8,4,9
Nissan,Model 3,2019,1,8,5,6,5,3
Audi,Model 3,2018,1,6,10,7,9,9
BMW,Model 3,2023,1,3,10,7,4,9
Lexus,Model 4,2023,0,8,8,4,9,3
Buick,Model 3,2020,0,7,5,3,7,3
Ariel,Model 2,2017,1,3,10,6,4,4
Mini,Model 4,2020,1,4,7,3,7,5
Morgan,Model 3,2021,1,5,6,8,9,10
Pagani,Model 1,2020,0,6,8,5,9,10
Chevrolet,Model 5,2017,0,7,7,4,7,7
Acura,Model 3,2016,1,5,3,9,10,4
Pagani,Model 4,2019,1,6,4,4,8,4
Acura,Model 5,2018,0,5,8,5,10,9
Aston Martin,Model 3,2015,1,9,9,5,5,6
Rolls-Royce,Model 4,2016,1,7,10,7,7,3
Alfa Romeo,Model 4,2015,0,6,3,10,10,5
Cadillac,Model 4,2023,1,8,7,6,5,5
Mazda,Model 4,2023,0,3,4,10,10,10
Smart,Model 5,2018,1,10,6,8,10,4
Subaru,Model 3,2021,1,9,7,8,3,9
Dodge,Model 1,2015,1,4,9,3,3,6
Tesla,Model 5,2020,1,9,9,4,9,8
Lamborghini,Model 5,2016,0,3,5,4,10,4
Ford,Model 4,2017,1,3,5,5,5,4
Pagani,Model 4,2023,1,7,3,7,3,3
Smart,Model 5,2019,1,5,7,3,5,10
Bentley,Model 4,2016,1,6,9,10,6,8
Genesis,Model 3,2021,0,8,10,8,3,10
BMW,Model 4,2021,1,8,9,7,4,6
Chrysler,Model 5,2022,1,8,10,4,7,4
Koenigsegg,Model 1,2018,0,10,10,5,5,3
Porsche,Model 4,2017,1,5,8,6,8,4
Chrysler,Model 5,2023,0,3,7,3,5,5
Honda,Model 1,2017,1,6,7,7,4,8
Ferrari,Model 2,2017,0,9,3,4,6,3
Genesis,Model 3,2017,0,9,6,7,3,3
Lotus,Model 3,2017,0,10,6,5,10,7
Smart,Model 3,2018,1,5,5,9,5,8
Toyota,Model 2,2017,1,7,7,4,5,7
Alfa Romeo,Model 5,2021,1,7,10,8,7,10
Toyota,Model 5,2018,1,9,5,5,3,3
Bugatti,Model 4,2023,1,5,6,10,10,6
Maserati,Model 3,2018,1,10,4,6,7,7
Lamborghini,Model 1,2015,1,9,7,10,6,7
Chevrolet,Model 2,2020,1,4,6,10,9,3
Alfa Romeo,Model 1,2021,0,5,10,5,4,5
Lamborghini,Model 5,2017,0,7,8,8,8,4
Kia,Model 5,2015,0,6,6,3,9,8
Kia,Model 4,2023,1,7,5,3,5,3
Kia,Model 1,2018,0,10,6,9,5,9
Maserati,Model 3,2023,0,8,7,10,6,6
Rimac,Model 1,2016,0,7,8,3,8,8
Mercedes-Benz,Model 1,2020,1,3,6,7,3,9
Alfa Romeo,Model 1,2018,0,3,10,3,4,3
Volkswagen,Model 4,2023,0,3,6,3,10,10
Acura,Model 4,2020,0,8,7,4,10,3
Dodge,Model 1,2020,1,5,3,7,9,3
Lamborghini,Model 4,2021,1,6,5,9,3,6
Lexus,Model 5,2020,1,9,5,9,5,9
Caterham,Model 1,2017,0,7,9,6,8,4
Jaguar,Model 2,2015,0,10,7,9,3,8
Jaguar,Model 4,2016,0,4,3,6,8,3
Smart,Model 2,2015,0,5,7,5,7,6
Mitsubishi,Model 1,2023,0,6,4,10,9,6
Mercedes-Benz,Model 1,2015,0,9,8,3,9,6
Volkswagen,Model 5,2019,1,9,6,7,3,6
Lincoln,Model 4,2023,0,5,7,3,7,8
Fiat,Model 5,2019,1,9,10,4,8,4
Bentley,Model 5,2019,0,8,10,10,6,4
Pagani,Model 3,2023,0,9,4,5,8,8
Caterham,Model 2,2015,1,4,5,8,10,5
Caterham,Model 1,2023,1,10,9,8,8,5
Chrysler,Model 1,2021,1,10,7,8,9,4
Mercedes-Benz,Model 5,2018,0,10,9,6,9,4
Mercedes-Benz,Model 2,2020,0,9,10,5,5,10
Maserati,Model 4,2017,1,5,9,5,5,4
Genesis,Model 2,2020,1,8,10,6,3,7
Acura,Model 1,2017,0,9,10,9,7,8
Porsche,Model 4,2020,1,8,10,7,5,4
Jeep,Model 5,2017,0,9,10,7,9,4
Chrysler,Model 1,2016,1,7,7,5,8,5
Chrysler,Model 3,2023,0,4,10,5,6,9
Rolls-Royce,Model 5,2021,1,9,7,4,10,10
Hyundai,Model 5,2019,1,5,4,8,7,6
Mercedes-Benz,Model 4,2021,1,8,8,9,9,8
McLaren,Model 5,2016,1,4,9,10,9,7
Lincoln,Model 1,2019,0,3,3,6,3,5
Bugatti,Model 5,2015,1,3,5,10,7,5
Porsche,Model 2,2018,0,6,9,9,9,6
Kia,Model 4,2019,0,4,7,6,9,6
Jaguar,Model 5,2020,0,7,8,4,8,4
Cadillac,Model 5,2017,1,7,10,5,9,9
McLaren,Model 1,2015,1,8,5,5,8,6
Jeep,Model 3,2021,1,7,3,7,7,3
BMW,Model 5,2015,0,5,6,4,4,6
Tesla,Model 4,2017,1,3,4,3,8,10
McLaren,Model 2,2016,1,8,3,9,3,8
Lincoln,Model 5,2023,1,9,6,7,4,5
Bentley,Model 4,2020,1,6,9,6,4,4
Mitsubishi,Model 2,2016,1,7,10,8,7,8
GMC,Model 1,2023,0,3,6,6,6,8
Maserati,Model 5,2015,1,10,7,8,9,10
BAC,Model 2,2016,0,10,7,7,8,9
Ariel,Model 1,2023,0,6,8,6,3,9
Morgan,Model 4,2016,0,8,10,8,10,10
GMC,Model 4,2016,1,7,5,4,10,7
Fiat,Model 5,2023,1,7,8,8,9,6
Dodge,Model 3,2016,0,9,6,9,9,4
Tesla,Model 5,2017,0,8,4,10,9,6
Subaru,Model 1,2021,0,5,6,3,5,7
Rimac,Model 3,2016,1,10,4,3,6,5
Volvo,Model 5,2016,0,8,5,5,6,4
Audi,Model 3,2018,1,8,9,9,5,9
Mazda,Model 2,2020,0,9,8,5,4,5
McLaren,Model 3,2015,1,6,4,6,10,6
Koenigsegg,Model 2,2015,1,6,4,7,8,10
BMW,Model 5,2016,0,4,4,8,8,8
Caterham,Model 2,2018,1,8,8,10,3,9
Mini,Model 5,2017,1,7,9,7,6,9
Chrysler,Model 2,2018,1,3,3,10,9,10
Mitsubishi,Model 4,2020,0,4,9,7,9,10
Genesis,Model 5,2020,1,8,9,9,7,4
Genesis,Model 4,2022,0,8,9,5,5,3
Chevrolet,Model 2,2018,1,10,7,5,8,8
Jeep,Model 4,2017,1,9,8,6,8,8
Lincoln,Model 3,2019,0,8,4,6,4,4
Alfa Romeo,Model 1,2016,1,4,8,10,3,7
Kia,Model 2,2021,0,4,5,6,9,9
Bugatti,Model 1,2016,1,9,5,9,9,6
Kia,Model 2,2022,0,9,5,3,3,4
BAC,Model 3,2015,1,10,10,7,5,4
Bentley,Model 4,2016,0,8,10,7,9,5
Chrysler,Model 4,2021,1,10,8,3,3,8
Genesis,Model 2,2018,0,6,6,3,8,10
BMW,Model 4,2016,1,4,5,6,9,3
Pagani,Model 3,2015,0,5,10,7,8,9
Cadillac,Model 1,2021,1,9,5,3,5,8
Lincoln,Model 4,2018,1,6,9,4,3,5
BAC,Model 2,2023,1,7,3,9,6,4
Acura,Model 5,2018,0,9,3,4,5,5
Chrysler,Model 2,2017,0,10,9,6,7,10
Tesla,Model 5,2023,0,9,8,9,4,8
Honda,Model 1,2016,1,8,3,5,3,5
Morgan,Model 3,2022,1,7,8,8,4,3
Toyota,Model 2,2017,0,9,4,9,10,6
Nissan,Model 2,2015,1,6,5,10,3,4
Ferrari,Model 2,2023,1,5,4,4,7,4
Maserati,Model 1,2023,1,3,7,9,9,5
Volkswagen,Model 4,2020,0,10,6,4,3,5
Hyundai,Model 3,2023,1,4,5,8,5,4
Kia,Model 5,2017,1,9,5,5,6,3
Mitsubishi,Model 4,2015,1,8,5,7,5,7
Chevrolet,Model 3,2023,1,9,8,8,7,9
Mini,Model 1,2018,0,7,4,3,6,5
Jaguar,Model 4,2015,1,8,9,4,3,8
Land Rover,Model 5,2020,1,10,3,7,4,10
McLaren,Model 3,2022,1,5,5,6,5,3
Kia,Model 2,2018,0,8,3,8,10,9
Jeep,Model 4,2023,1,4,5,5,4,7
Lexus,Model 4,2022,1,3,4,7,6,3
Smart,Model 4,2019,0,3,5,9,10,9
Caterham,Model 4,2022,1,8,10,10,5,7
Tesla,Model 5,2015,0,10,10,4,8,8
Ferrari,Model 4,2020,1,8,8,5,8,4
Lexus,Model 2,2015,1,6,5,6,8,7
Nissan,Model 1,2018,1,6,3,5,10,6
Mercedes-Benz,Model 1,2022,0,5,6,6,7,9
Ariel,Model 5,2020,1,10,10,5,8,5
BMW,Model 3,2023,1,6,4,6,3,8
Ferrari,Model 5,2016,0,10,5,3,4,4
Kia,Model 5,2016,0,7,9,8,3,4
Rimac,Model 4,2022,1,5,8,8,7,6
Audi,Model 5,2015,1,8,8,8,3,8
Chevrolet,Model 5,2017,1,7,9,7,4,7
Volkswagen,Model 4,2016,0,10,8,10,6,10
Infiniti,Model 1,2019,0,9,6,10,5,10
GMC,Model 3,2017,1,3,7,6,8,8
Buick,Model 4,2017,0,10,3,6,3,9
Audi,Model 4,2021,1,7,8,4,3,4
Morgan,Model 2,2023,0,7,4,8,9,10
Morgan,Model 5,2018,1,7,4,9,7,3
Infiniti,Model 3,2021,1,10,8,8,10,10
Lexus,Model 4,2022,0,7,7,10,5,4
Lincoln,Model 1,2016,1,10,4,8,9,9
Mazda,Model 3,2020,0,3,4,6,6,5
Dodge,Model 4,2015,0,9,9,4,9,8
Mercedes-Benz,Model 4,2022,0,3,3,9,10,8
Volvo,Model 5,2016,0,3,9,8,8,6
Ferrari,Model 5,2016,0,5,5,3,3,8
Rolls-Royce,Model 2,2018,0,10,9,5,4,5
Porsche,Panamera,2019,1,9,4,4,6,6
Porsche,Panamera,2019,0,6,5,7,8,6
Porsche,Panamera,2019,0,9,4,4,6,6
Porsche,Panamera,2019,1,6,4,3,6,6
Porsche,Panamera,2019,1,8,2,4,6,6
Porsche,Panamera,2019,1,10,6,1,9,9
Porsche,Panamera,2019,1,10,2,9,3,3
